# Data size, MSE, MSE std. error
5.000000000000000000e+00,3.950855539026352226e-01,3.824937336646529878e-02
7.000000000000000000e+00,2.019179444725585915e-01,1.804870604635555945e-02
1.000000000000000000e+01,1.238507226754797103e-01,1.070865839976804963e-02
1.500000000000000000e+01,9.869542409873106881e-02,1.032032907437174796e-02
2.100000000000000000e+01,8.918161099110372136e-02,1.420687548852585594e-02
3.100000000000000000e+01,6.331628466451849624e-02,1.401916920054680805e-02
4.400000000000000000e+01,3.433556346049095737e-02,8.053982833361995192e-03
6.400000000000000000e+01,1.513881133893221591e-02,5.200221847417694707e-03
9.200000000000000000e+01,6.333562378693982468e-03,1.320034263635073285e-03
1.320000000000000000e+02,1.320471696355876535e-03,5.121150089069930345e-04
