# Data size, MSE, MSE std. error
5.000000000000000000e+00,7.037851032850036548e-01,3.709032046182227788e-02
7.000000000000000000e+00,3.345807440562783563e-01,2.258250775245911751e-02
1.000000000000000000e+01,1.384352746682575575e-01,1.253629358680598965e-02
1.500000000000000000e+01,8.034523437727575379e-02,8.219647125560378131e-03
2.100000000000000000e+01,5.053355407293568663e-02,7.586102131477487701e-03
3.100000000000000000e+01,1.998942749325674506e-02,3.311545222991255175e-03
4.400000000000000000e+01,1.033938730357702486e-02,1.516580175634592168e-03
6.400000000000000000e+01,5.809019871482781240e-03,7.827191471442794795e-04
9.200000000000000000e+01,3.617621530061490044e-03,8.747945431228631172e-04
1.320000000000000000e+02,1.194886596354274595e-03,3.432823195131023747e-04
