# Data size, MSE, MSE std. error
5.000000000000000000e+00,2.028778765327988509e+00,1.242945062728028349e-01
7.000000000000000000e+00,1.606874647281691493e+00,9.044568376350635430e-02
1.000000000000000000e+01,1.139151420159828509e+00,6.325764262645594549e-02
1.500000000000000000e+01,6.865064150012899491e-01,5.033369646044180690e-02
2.100000000000000000e+01,4.369488215012787835e-01,4.088390347311275652e-02
3.100000000000000000e+01,3.349742978810944516e-01,5.132563046062449397e-02
4.400000000000000000e+01,2.158155451690479398e-01,3.052590664268506337e-02
6.400000000000000000e+01,1.215672349816017267e-01,1.508388098475113050e-02
9.200000000000000000e+01,7.746731587767277660e-02,1.297733229396357685e-02
1.320000000000000000e+02,3.096006805675237394e-02,4.118099850113954123e-03
