# Data size, MSE, MSE std. error
5.000000000000000000e+00,5.549228299539582521e-01,3.128895145859771076e-02
7.000000000000000000e+00,3.162140459346784449e-01,2.264165055660040740e-02
1.000000000000000000e+01,1.664710030176169142e-01,1.577962048069330575e-02
1.500000000000000000e+01,1.031819872109230735e-01,9.762365550023058627e-03
2.100000000000000000e+01,6.723111905072465255e-02,1.022888167570537403e-02
3.100000000000000000e+01,2.831720638843974319e-02,3.008925790888529548e-03
4.400000000000000000e+01,1.668737618049171215e-02,2.086572452798614655e-03
6.400000000000000000e+01,7.851678103606348283e-03,9.586465572582138130e-04
9.200000000000000000e+01,5.640752383305309113e-03,1.365135840512849601e-03
1.320000000000000000e+02,1.478779724789491606e-03,3.353156203987990493e-04
