# Data size, MSE, MSE std. error
5.000000000000000000e+00,3.533053987373318439e+00,7.350616902733690461e-17
7.000000000000000000e+00,3.533053987373318439e+00,7.350616902733690461e-17
1.000000000000000000e+01,3.533053987373318439e+00,7.350616902733690461e-17
1.500000000000000000e+01,3.533053987373318439e+00,7.350616902733690461e-17
2.100000000000000000e+01,3.533053987373318883e+00,5.197671057827449571e-17
3.100000000000000000e+01,3.533053987373318883e+00,6.409875621278547287e-17
4.400000000000000000e+01,3.533053987373319771e+00,7.401486830834376525e-17
6.400000000000000000e+01,3.533053987373319327e+00,0.000000000000000000e+00
9.200000000000000000e+01,3.533053987373320215e+00,2.373756674888699761e-16
1.320000000000000000e+02,3.533053987373319771e+00,1.404333387430680441e-16
