# Data size, MSE, MSE std. error
5.000000000000000000e+00,1.359636050914883487e+00,1.056915356655411670e-01
7.000000000000000000e+00,8.956513619244312885e-01,7.730722132702884386e-02
1.000000000000000000e+01,5.308274381705043732e-01,4.169017948595245271e-02
1.500000000000000000e+01,2.981855827581599283e-01,2.209474448586372028e-02
2.100000000000000000e+01,1.828177265261073936e-01,1.791165358299804528e-02
3.100000000000000000e+01,1.294128719191139643e-01,1.425291304838365025e-02
4.400000000000000000e+01,9.658481322340393971e-02,1.511900085375522153e-02
6.400000000000000000e+01,4.984204534919010193e-02,9.933778179832254002e-03
9.200000000000000000e+01,2.832617452313674483e-02,5.478183344280999727e-03
1.320000000000000000e+02,1.047528027464822778e-02,1.927585227047338718e-03
