# Data size, MSE, MSE std. error
5.000000000000000000e+00,4.680515308426568488e+00,2.273221719993666901e-01
7.000000000000000000e+00,3.783311840338285048e+00,1.843994231336049672e-01
1.000000000000000000e+01,3.070679456866582058e+00,1.536582083677796584e-01
1.500000000000000000e+01,2.268058290634288099e+00,1.236308597667117731e-01
2.100000000000000000e+01,1.627363736238021330e+00,1.351180423387962626e-01
3.100000000000000000e+01,1.226287467953837362e+00,1.019840146654800855e-01
4.400000000000000000e+01,8.452031467223921624e-01,6.292462350136746041e-02
6.400000000000000000e+01,6.080630800917665724e-01,2.525544420985183225e-02
9.200000000000000000e+01,4.706403411536850268e-01,1.235984087293104210e-02
1.320000000000000000e+02,4.001771002569458613e-01,5.578272393943440807e-03
