# Data size, MSE, MSE std. error
5.000000000000000000e+00,1.521775349520678056e+00,1.329188433055667473e-01
7.000000000000000000e+00,1.111966220361967350e+00,9.960484105568138957e-02
1.000000000000000000e+01,8.725125868266492279e-01,6.630088923496356423e-02
1.500000000000000000e+01,5.535695174717024658e-01,3.901020223333132725e-02
2.100000000000000000e+01,4.203707038871415946e-01,4.702199634399094330e-02
3.100000000000000000e+01,3.688411504444700784e-01,5.398241486224149982e-02
4.400000000000000000e+01,4.067381157669916480e-01,1.034841345154114967e-01
6.400000000000000000e+01,2.582545466708913717e-01,3.756760863551326241e-02
9.200000000000000000e+01,1.507153042733491988e-01,1.682446968335115159e-02
1.320000000000000000e+02,4.743472008383755462e-02,6.056117799672838982e-03
