# Data size, MSE, MSE std. error
5.000000000000000000e+00,3.721563999094377184e-01,3.775107655568280679e-02
7.000000000000000000e+00,1.892353029098979289e-01,1.658464849400853938e-02
1.000000000000000000e+01,1.163298780135065963e-01,8.466998541890894889e-03
1.500000000000000000e+01,6.562219805076136003e-02,5.908056492107833721e-03
2.100000000000000000e+01,4.548337349320771827e-02,5.934083154224849624e-03
3.100000000000000000e+01,2.984778418663063676e-02,4.630788649953726521e-03
4.400000000000000000e+01,1.873485880523645397e-02,3.606922623637906326e-03
6.400000000000000000e+01,1.012832205956763071e-02,1.618318899550087731e-03
9.200000000000000000e+01,5.413336754539863245e-03,5.314272779812206221e-04
1.320000000000000000e+02,3.111434514018464673e-03,8.444514292844132160e-04
