# Data size, MSE, MSE std. error
5.000000000000000000e+00,1.420760346972799404e+00,7.418160071839706438e-02
7.000000000000000000e+00,5.661697028031290602e-01,4.633370383173700952e-02
1.000000000000000000e+01,3.220278565825525630e-01,3.328109090819968141e-02
1.500000000000000000e+01,1.264632133334061270e-01,1.320738028262124011e-02
2.100000000000000000e+01,8.156285827828635426e-02,1.164513966268127670e-02
3.100000000000000000e+01,4.095761085737473217e-02,8.063104380086887069e-03
4.400000000000000000e+01,2.264471785912703164e-02,5.239913734184476792e-03
6.400000000000000000e+01,8.906326324485470611e-03,1.340588533042737967e-03
9.200000000000000000e+01,4.510240613400489686e-03,4.661267176539764766e-04
1.320000000000000000e+02,2.010324581774584202e-03,5.938014723513641065e-04
