# Data size, MSE, MSE std. error
5.000000000000000000e+00,4.623492066499174769e+00,2.276184719047336380e-01
7.000000000000000000e+00,3.683179312211333656e+00,1.844625643841528717e-01
1.000000000000000000e+01,2.930642950828224347e+00,1.535373667333603809e-01
1.500000000000000000e+01,2.153732734661914172e+00,1.204529289569163109e-01
2.100000000000000000e+01,1.533677840961885641e+00,1.308661983519919803e-01
3.100000000000000000e+01,1.003441087092640460e+00,9.721690914640880588e-02
4.400000000000000000e+01,6.898683176641206005e-01,4.359299367263318875e-02
6.400000000000000000e+01,5.514217773773972819e-01,1.903206672652989206e-02
9.200000000000000000e+01,4.362619928738852848e-01,1.017911032080951947e-02
1.320000000000000000e+02,3.828092049715254297e-01,6.224121141436224705e-03
