# Data size, MSE, MSE std. error
5.000000000000000000e+00,7.183167645017758396e-01,3.506086188252096475e-02
7.000000000000000000e+00,5.679233211010357163e-01,2.788741656243911779e-02
1.000000000000000000e+01,3.552457515263096610e-01,2.606847517074704218e-02
1.500000000000000000e+01,1.518239444007871142e-01,1.809198556157673790e-02
2.100000000000000000e+01,5.491037161624503365e-02,6.698585512037869526e-03
3.100000000000000000e+01,2.327336600174770287e-02,2.957518234156609593e-03
4.400000000000000000e+01,1.338016391481701602e-02,2.337420227132536079e-03
6.400000000000000000e+01,5.395864550140553988e-03,8.696616626341759169e-04
9.200000000000000000e+01,3.318022398566071538e-03,9.166588828569756679e-04
1.320000000000000000e+02,1.101510076919729906e-03,3.513729457944566106e-04
