# Data size, MSE, MSE std. error
5.000000000000000000e+00,1.071035623400735215e+00,1.525861958155829085e-03
7.000000000000000000e+00,1.071035623400735437e+00,1.734075496193217226e-03
1.000000000000000000e+01,1.071035623400735215e+00,1.958080258488693187e-03
1.500000000000000000e+01,1.071035623400735437e+00,2.340126671145757124e-03
2.100000000000000000e+01,1.072581435059615451e+00,4.000951984465988751e-03
3.100000000000000000e+01,1.070876860799627295e+00,6.754163671209591040e-03
4.400000000000000000e+01,1.072121573766231295e+00,9.745983356972343775e-03
6.400000000000000000e+01,1.072995714853427263e+00,1.987654396421040942e-02
9.200000000000000000e+01,1.069370481073190104e+00,3.165463651841875919e-02
1.320000000000000000e+02,1.104408118431749797e+00,8.670627324920707202e-02
