# Data size, MSE, MSE std. error
5.000000000000000000e+00,4.544504899649534302e+00,2.218783158885649087e-01
7.000000000000000000e+00,3.681419421808307391e+00,1.805909724483258094e-01
1.000000000000000000e+01,3.022228974432020987e+00,1.533881656698272977e-01
1.500000000000000000e+01,2.237230790516821166e+00,1.235182384949651130e-01
2.100000000000000000e+01,1.600545860331141101e+00,1.337068844110415322e-01
3.100000000000000000e+01,1.207481730668744202e+00,1.001237752680519677e-01
4.400000000000000000e+01,8.249133406199121721e-01,6.106975844868915704e-02
6.400000000000000000e+01,5.996040099063518758e-01,2.447527622068857919e-02
9.200000000000000000e+01,4.695118885260435859e-01,1.135710258894227428e-02
1.320000000000000000e+02,4.004353923604996868e-01,5.937122825550179839e-03
