# Data size, MSE, MSE std. error
5.000000000000000000e+00,1.912678242497136472e+00,1.021079297506723993e-01
7.000000000000000000e+00,1.300781036729787621e+00,7.680702105581097006e-02
1.000000000000000000e+01,9.036636895641658729e-01,6.367832565160139180e-02
1.500000000000000000e+01,5.597526569494900572e-01,4.598153795683917328e-02
2.100000000000000000e+01,4.376968385232299918e-01,5.405213712961860067e-02
3.100000000000000000e+01,3.037349657782004719e-01,5.301943663179460586e-02
4.400000000000000000e+01,2.250381310352846387e-01,3.925879571555366404e-02
6.400000000000000000e+01,1.138312677622453084e-01,1.912185166423489152e-02
9.200000000000000000e+01,1.004719028592979124e-01,1.865673130674438268e-02
1.320000000000000000e+02,3.660861554778251092e-02,6.178667177900513431e-03
