# Data size, MSE, MSE std. error
5.000000000000000000e+00,2.177004499870422105e+00,1.089332506205777235e-01
7.000000000000000000e+00,1.411601388063015161e+00,8.555965711254721884e-02
1.000000000000000000e+01,9.372435598626845943e-01,6.726096572194646683e-02
1.500000000000000000e+01,5.849069791204469793e-01,4.777364377208337398e-02
2.100000000000000000e+01,4.449648708727189650e-01,5.181603886382023932e-02
3.100000000000000000e+01,3.043390834281195501e-01,4.749620501420032809e-02
4.400000000000000000e+01,2.265782072761540478e-01,3.780436132869675891e-02
6.400000000000000000e+01,1.176173587174187130e-01,1.678146907516857994e-02
9.200000000000000000e+01,1.007136815499820454e-01,1.754566957181286774e-02
1.320000000000000000e+02,3.467932077664303420e-02,5.589404161415945788e-03
