# Data size, MSE, MSE std. error
5.000000000000000000e+00,2.278633137584202384e+00,7.582244823841322034e-02
7.000000000000000000e+00,1.891341647306451268e+00,6.052120217208733360e-02
1.000000000000000000e+01,1.550038947606130701e+00,5.753860855906782479e-02
1.500000000000000000e+01,1.110524414368970980e+00,5.256605755207497538e-02
2.100000000000000000e+01,8.311781034113523425e-01,5.666426222089669673e-02
3.100000000000000000e+01,5.492910050024766289e-01,3.577887998270094100e-02
4.400000000000000000e+01,3.749339046459832514e-01,2.567931839019167717e-02
6.400000000000000000e+01,2.462145286706780567e-01,1.726925900904754604e-02
9.200000000000000000e+01,1.654999086410722520e-01,1.072297515526421212e-02
1.320000000000000000e+02,1.112093645611318404e-01,5.542965984211431496e-03
