# Data size, MSE, MSE std. error
5.000000000000000000e+00,4.963214922734978884e+00,3.020128759605019697e-01
7.000000000000000000e+00,2.648831955281795825e+00,1.904914788908518009e-01
1.000000000000000000e+01,2.021116968094013089e+00,2.045549838549541866e-01
1.500000000000000000e+01,8.079077983827674947e-01,8.901844782927220701e-02
2.100000000000000000e+01,5.069619777810518979e-01,6.479516007241396813e-02
3.100000000000000000e+01,3.492400219960434815e-01,7.478653013108409187e-02
4.400000000000000000e+01,4.180844014324401337e-01,1.394472537807751877e-01
6.400000000000000000e+01,1.528425402475527550e-01,2.359705781752299489e-02
9.200000000000000000e+01,7.895035329707238148e-02,1.095580080494696316e-02
1.320000000000000000e+02,2.185344192623290063e-02,2.308014350583641270e-03
