# Data size, MSE, MSE std. error
5.000000000000000000e+00,5.844099902306092442e-01,3.396519886222894996e-02
7.000000000000000000e+00,3.031204043470033804e-01,2.051054898220831813e-02
1.000000000000000000e+01,1.223259315943565489e-01,1.021372696950014446e-02
1.500000000000000000e+01,7.640058937605616329e-02,7.587207962391087288e-03
2.100000000000000000e+01,4.874477509727996594e-02,7.374027418349362109e-03
3.100000000000000000e+01,2.048246904929523424e-02,4.226853051924703286e-03
4.400000000000000000e+01,1.039205143696254885e-02,1.637419032842905896e-03
6.400000000000000000e+01,5.633823938682011069e-03,7.657561826215968049e-04
9.200000000000000000e+01,3.724621128150395685e-03,9.288532414502450978e-04
1.320000000000000000e+02,1.256646126122709867e-03,3.683161769494005416e-04
