# Data size, MSE, MSE std. error
5.000000000000000000e+00,5.282730736505479641e+00,3.149577696096513835e-01
7.000000000000000000e+00,3.168217011651111470e+00,2.305690697333294403e-01
1.000000000000000000e+01,2.117239423971906120e+00,1.967235236844859514e-01
1.500000000000000000e+01,1.042928069053829399e+00,1.051647617438302845e-01
2.100000000000000000e+01,8.172182964943470740e-01,1.043321173670893609e-01
3.100000000000000000e+01,8.468414234104638671e-01,1.733595274509356909e-01
4.400000000000000000e+01,5.188937631872481138e-01,1.126186883836869934e-01
6.400000000000000000e+01,4.291005170628289234e-01,8.512052741365554176e-02
9.200000000000000000e+01,2.881489988267829649e-01,5.340262836009567610e-02
1.320000000000000000e+02,1.215920594285010981e-01,2.418647732366034989e-02
